ID,Artigo,Sentencas,Titulo,DOI
1,15825,La0.75Sr0.25Cr0.5Mn0.5O3-delta(LSCM) perovskite oxide is a potential ceramic anode material for solid oxide fuel cells.,Bismuth doped La0.75Sr0.25Cr0.5Mn0.5O3-δperovskite as a novel redox-stable efficient anode for solid oxide fuel cells,10.1039/d0ta03328f
2,15825,This work aims to improve its catalytic activity for electrochemical anodic reactions by partially replacing lanthanum with bismuth.,Bismuth doped La0.75Sr0.25Cr0.5Mn0.5O3-δperovskite as a novel redox-stable efficient anode for solid oxide fuel cells,10.1039/d0ta03328f
3,15825,Bi-doped LSCM is successfully fabricated at 1100 degrees C in air and is stable in hydrogen at 850 degrees C although Bi(2)O(3)is not stable under anodic conditions.,Bismuth doped La0.75Sr0.25Cr0.5Mn0.5O3-δperovskite as a novel redox-stable efficient anode for solid oxide fuel cells,10.1039/d0ta03328f
4,15825,"Bi doping increases the symmetry of the crystal structure, the concentration of surface oxygen species, and the oxygen vacancy concentration associated with the decrease in average Mn valence, and the sinterability meanwhile decreases the electronic conductivity.",Bismuth doped La0.75Sr0.25Cr0.5Mn0.5O3-δperovskite as a novel redox-stable efficient anode for solid oxide fuel cells,10.1039/d0ta03328f
5,15825,"When single phase LSCM is used as the electrode, Bi doping increases the catalytic activity by a factor of up to 2.2 as determined with symmetrical cells based on perovskite structured electrolytes.",Bismuth doped La0.75Sr0.25Cr0.5Mn0.5O3-δperovskite as a novel redox-stable efficient anode for solid oxide fuel cells,10.1039/d0ta03328f
6,15825,The electrode performance is at least 40% higher than those ever reported for LSCM doped with various elements.,Bismuth doped La0.75Sr0.25Cr0.5Mn0.5O3-δperovskite as a novel redox-stable efficient anode for solid oxide fuel cells,10.1039/d0ta03328f
7,15825,The performance is even higher than that of LSCM-based composite electrodes and nanostructured composites.,Bismuth doped La0.75Sr0.25Cr0.5Mn0.5O3-δperovskite as a novel redox-stable efficient anode for solid oxide fuel cells,10.1039/d0ta03328f
8,15825,"In addition, Bi doping increases the peak power density of the electrolyte supported single cell that is from 237 mW cm(-2)to 386 mW cm(-2)at 800 degrees C when humidified H(2)is used as the fuel and from 119 mW cm(-2)to 222 mW cm(-2)for syngas fuel.",Bismuth doped La0.75Sr0.25Cr0.5Mn0.5O3-δperovskite as a novel redox-stable efficient anode for solid oxide fuel cells,10.1039/d0ta03328f
9,15825,The performance obtained with the single phase anode is about twice as high as those reported with LSCM-YSZ nanocomposite and graded composite anodes.,Bismuth doped La0.75Sr0.25Cr0.5Mn0.5O3-δperovskite as a novel redox-stable efficient anode for solid oxide fuel cells,10.1039/d0ta03328f
10,15825,"The performance is even higher than that reported with Pd doped (La,Sr)CrO(3)where plenty of exsolved Pd nanoparticles function as the electrocatalyst.",Bismuth doped La0.75Sr0.25Cr0.5Mn0.5O3-δperovskite as a novel redox-stable efficient anode for solid oxide fuel cells,10.1039/d0ta03328f
11,15825,The performance is competitive with that of widely used Ni-based cermet anodes under similar conditions.,Bismuth doped La0.75Sr0.25Cr0.5Mn0.5O3-δperovskite as a novel redox-stable efficient anode for solid oxide fuel cells,10.1039/d0ta03328f
12,15825,"Finally, the Bi-doped LSCM based cells show good stability when operated with hydrogen and syngas fuels.",Bismuth doped La0.75Sr0.25Cr0.5Mn0.5O3-δperovskite as a novel redox-stable efficient anode for solid oxide fuel cells,10.1039/d0ta03328f
